Area,Depot Names,Address,Latitude,Longitude,Brown Salt Capacity,Depot Max Vehicle Capacity,Garaging Space,No. of routes,Operational?,Comments
9,Ansty,"Ansty Motorway Maintenance Compound, Leicester Road, Coventry, CV7 9JA",52.438699,-1.427533,3600,,5,3,Y,
9,Bescot,"Ansty Motorway Maintenance Compound, Leicester Road, Coventry. CV7 9JA",52.566365,-2.000206,0,,,,N,
9,Bury Court,"Bury Court Motorway Maintenance Compound, M50 Junction 2, Gloucester, HR8 1RY",51.997318,-2.360937,3500,,4,3,Y,
9,Coleshill,"Coleshill Motorway Maintenance Compound, Coleshill Heath Road, Birmingham, B46 3HL",52.478711,-1.712819,5000,,8,5,Y,
9,Doxey,"Doxey Motorway Maintenance Compound, Seighford Road, Stafford, ST18 9LG",52.81098,-2.156128,2000,,5,3,Y,
9,Hereford,"Rotherwas Depot,Unit 3,Thorne Business Park, Rotherwas, Hereford, HR2 6JT",52.042009,-2.692713,0,,,,N,
9,Hilton Park,"Hilton Park Motorway Maintenance Compound, Sharshill, Hilton Park Services, M6, Wolverhampton, WV11 2AT",52.644609,-2.054951,1400,,4,3,Y,
9,Keele,"Keele Motorway Maintenance Compound, Three Mile Lane, Keele Park Service Area, Newcastle, ST5 5HG",52.992912,-2.292072,4200,,5,2,Y,
9,Longbridge,"Longbridge Motorway Maintenance Compound, Barford Road, Warwick, CV34 6RB",52.258252,-1.612189,4000,,4,3,Y,
9,Lydiate Ash,"Lydiate Ash Motorway Maintenance Compound, Sandy LaneJunction 4 M5, Bromsgrove, B61 0QN,",52.380417,-2.04778,0,,4,0,Y,
9,Perry Barr,"Perry Barr Motorway Maintenance Compound, Thornbridge Avenue, Birmingham, B42 2AG",52.533556,-1.901979,3600,,5,4,Y,
9,Stafford Park,"Stafford Park Motorway Maintenance Compound, Stafford Park 10, Telford, TF3 3BU",52.673214,-2.411457,4600,,7,5,Y,
9,Strensham,"Strensham Motorway Maintenance Compound, Hill View Road, Worcester, WR8 9LJ",52.056393,-2.143409,3000,,8,3,Y,
9,Warndon,"Warndon Motorway Maintenance Compound, Pershore Lane, Worcester, WR4 0AA",52.21485,-2.158546,3800,,4,3,Y,
10,Brinnington,"M60 Junction 25, Ashton Road Roundabout, Bredbury, Stockport, Cheshire, SK6 2QN",53.425469,-2.122343,1600,,6,4,Y,
10,Charnock Richard,"Mill Lane, Charnock Richard, Nr Chorley, PR7 5LQ",53.629667,-2.689094,1430,,4,3,Y,
10,Clatterbridge,"Mount Road, Bebbington, Wirral, L63 5QA",53.340393,-3.022619,1800,,4,2,Y,
10,Glenburn (RS),"Whitmoss Road South, Glenburn, Skelmersdale WN8 9TH",53.540623,-2.791989,1000,,0,,N,
10,Hale,"M56 Junction 6, Wilmslow Road Roundabout, Hale, Altrincham, Cheshire, WA15 8XB",53.361945,-2.295194,2000,,4,4,Y,
10,Knutsford,"Northwich Road, Tabley, Knutsford WA16 0TG",53.302281,-2.400569,2100,,7,4,Y,
10,Milnrow,"M62 Junction 21, Elizabethan Way, Milnrow, Rochdale OL16 4HG",53.603378,-2.108977,3600,,6,6,Y,
10,Newton Le Willows,"Rob Lane, Newton-le-Willows, Warrington, WA12 0DR",53.464823,-2.619858,1500,,5,3,Y,
10,Preston Brook,"Chester Road, Preston Brook, Runcorn, WA7 3AT",53.31959,-2.652079,2100,,5,4,Y,
10,Sandbach (RS),"Newcastle Road, Betchton, Sandbach, CW11 0TF",53.137416,-2.335448,0,,5,3,N,
10,Tarbock,"Coppice Lane, Prescot, Merseyside, L35 6AG",53.398828,-2.812688,2600,,5,3,Y,
10,Westhoughton,"Chorley Road, Westhoughton, Bolton BL5 3NH",53.574241,-2.548359,3800,,6,4,Y,
10,Whitebirk,"Whitebirk Bleach Works, Whitebirk, Blackburn, BB1 3JA",53.752377,-2.443766,1900,,5,4,Y,
12,Ainley Top,"Lindley Moor Road, Ainley, Huddersfield, HD3 3RH",53.669514,-1.829318,3500,,4,2,Y,
12,Aston,"Hardwick Lane, Aston, Sheffield, S26 2BE",53.363636,-1.281834,4500,,4,2,Y,
