Level,Depot,Vehicle,Unique_Edges,Unique_Distance_km,Total_Unique_Distance_km,Avg_Time_per_Vehicle_h,Avg_Distance_per_Vehicle_km
Vehicle,42,3,248,93.09817426243039,,,
Vehicle,42,4,243,71.37586316267254,,,
Vehicle,42,5,257,95.1372237847818,,,
Vehicle,42,6,284,101.68138466107197,,,
Depot,42,,1287,,487.92507794219233,1.0165105790462339,81.32084632369872
Vehicle,43,1,227,94.63672037040303,,,
Vehicle,43,2,223,64.60712960702294,,,
Vehicle,43,3,241,45.182444514208555,,,
Vehicle,43,4,263,48.0323808920383,,,
Vehicle,43,5,222,84.6222554980181,,,
Vehicle,43,6,256,118.79466926747703,,,
Depot,43,,1185,,365.50822182048165,0.7614754621260034,60.91803697008028
Vehicle,44,1,262,161.4129531818706,,,
Vehicle,44,2,312,133.95941076943586,,,
Vehicle,44,3,339,197.34058280978888,,,
Vehicle,44,4,350,248.80147092479731,,,
Vehicle,44,5,301,153.88790166878226,,,
Vehicle,44,6,336,121.34108470120472,,,
Depot,44,,1453,,739.3301900595548,1.540271229290739,123.22169834325912
Vehicle,45,1,274,122.4440592906862,,,
Vehicle,45,2,306,150.8625024551147,,,
Vehicle,45,3,267,111.57424847307213,,,
Vehicle,45,4,283,103.43992197510082,,,
Vehicle,45,5,265,96.57355048054923,,,
Vehicle,45,6,324,124.20336959361845,,,
Depot,45,,1414,,551.283091430041,1.1485064404792522,91.88051523834017
Vehicle,46,1,307,128.45000095379268,,,
Vehicle,46,2,374,203.7838428773054,,,
Vehicle,46,3,347,148.1309087322149,,,
Vehicle,46,4,408,213.13138103237858,,,
Vehicle,46,5,391,183.90722542308762,,,
Vehicle,46,6,347,131.36964725785646,,,
Depot,46,,1580,,719.7985915568399,1.4995803990767498,119.96643192613999
Vehicle,47,1,332,106.9793809287449,,,
Vehicle,47,2,304,125.42918834846088,,,
Vehicle,47,3,335,169.85832010283323,,,
Vehicle,47,4,319,151.85319983337658,,,
Vehicle,47,5,363,145.31473667880456,,,
Vehicle,47,6,316,113.76002656472548,,,
Depot,47,,1606,,610.4606358869538,1.2717929914311539,101.74343931449229
Vehicle,48,1,199,39.12481688827415,,,
Vehicle,48,2,235,63.09756126821765,,,
Vehicle,48,3,242,68.21500834201683,,,
Vehicle,48,4,236,45.947837288668794,,,
Vehicle,48,5,307,80.00072348665583,,,
Vehicle,48,6,350,120.44857183173623,,,
Depot,48,,1207,,311.0467317597412,0.6480140244994608,51.841121959956865
Vehicle,49,1,255,90.91185492622887,,,
Vehicle,49,2,355,109.69922081020941,,,
Vehicle,49,3,336,118.0851228272672,,,
Vehicle,49,4,329,101.89844718072263,,,
Vehicle,49,5,354,158.08814609637412,,,
Vehicle,49,6,305,115.05469583650176,,,
Depot,49,,1442,,502.03129347403524,1.0458985280709068,83.67188224567253
Vehicle,50,1,313,121.40406513456135,,,
Vehicle,50,2,290,71.24135284814481,,,
Vehicle,50,3,307,115.61247242709248,,,
Vehicle,50,4,309,79.31070637212017,,,
Vehicle,50,5,354,73.56648124722665,,,
Vehicle,50,6,264,43.66186193091264,,,
Depot,50,,1413,,379.4004529537444,0.7904176103203008,63.23340882562407
Vehicle,51,1,398,234.5435700267777,,,
Vehicle,51,2,258,125.09317801246165,,,
Vehicle,51,3,291,65.16940828379087,,,
Vehicle,51,4,309,101.9574131204479,,,
Vehicle,51,5,304,129.861753021273,,,
Vehicle,51,6,303,103.59072817707766,,,
Depot,51,,1531,,635.4020665999003,1.3237543054164589,105.90034443331672
Vehicle,52,1,351,99.66835505489992,,,
Vehicle,52,2,258,98.40421207265632,,,
Vehicle,52,3,47,10.43246920727981,,,
Vehicle,52,4,21,1.3517724199516512,,,
Vehicle,52,5,5,0.483902636459778,,,
Vehicle,52,6,6,0.6292169193774251,,,
